,지역,지도center,위도,경도
0,강원,강원도청,37.8853984,127.7297758
1,경기,경기도청,37.275051,127.0094448
2,경남,경상남도청,35.2382905,128.692398
3,경북,경상북도청,36.5760207,128.5055956
4,광주,광주시청,35.1600766,126.8514758
5,대구,대구광역시청,35.8925078,128.6004423
6,대전,대전광역시청,36.3504567,127.3848187
7,부산,부산광역시청,35.1797913,129.074987
8,서울,부산광역시청,35.1797913,129.074987
9,세종,세종특별자치시청,36.4801319,127.2887648
10,울산,울산광역시청,35.5396224,129.3115276
11,인천,인천광역시청,37.4560897,126.7059157
12,전남,전라남도청,34.8162186,126.4629242
13,전북,전라북도청,35.82036,127.108727
14,제주,제주시청,33.499597,126.531254
15,충남,충청남도청,36.6588284,126.6728549
16,충북,충청북도청,36.6358093,127.4913338
